id,bank_id,risk_score,risk_level,risk_factors,total_monetary_amount,average_case_value,financial_risk_level,primary_subject_matter,subject_matter_categories,legal_issues,financial_terms,regulatory_compliance_score,customer_dispute_rate,operational_risk_score,credit_risk_exposure,case_complexity_score,success_rate,last_updated,created_at
2,1907,6,Low,"['litigation: settlement', 'litigation: legal action', 'litigation: court case', 'credit_risk: bad debt', 'fraud: fraud']",125409727762.80,1717941476.20,Critical,Credit & Lending,"{'Employment': 5, 'Credit & Lending': 92, 'Fraud & Security': 13, 'Banking Regulation': 1, 'Investment Banking': 22}","['breach', 'liability', 'injunction', 'breach of contract', 'non-compliance', 'default', 'damages', 'violation', 'fraud', 'specific performance', 'negligence']","['mortgage', 'interest', 'payment', 'installment', 'credit', 'deposit', 'withdrawal', 'debt', 'principal', 'collateral', 'default', 'loan']",0,71.23,0,125409727762.80,15,87.67,2025-09-14 07:02:11+00:00,2025-09-14 07:02:11+00:00
3,1908,11,Low,"['litigation: settlement', 'fraud: fraud', 'fraud: money laundering', 'litigation: legal action', 'litigation: court case', 'litigation: lawsuit', 'customer_dispute: unauthorized transaction']",4450070226651795.00,83963589182109.34,Critical,Credit & Lending,"{'Payment Systems': 4, 'Credit & Lending': 85, 'Fraud & Security': 23, 'Customer Disputes': 2, 'Banking Regulation': 7, 'Investment Banking': 44}","['breach', 'liability', 'restitution', 'injunction', 'breach of contract', 'misrepresentation', 'default', 'non-compliance', 'damages', 'violation', 'fraud', 'specific performance', 'negligence']","['mortgage', 'payment', 'interest', 'bankruptcy', 'installment', 'credit', 'deposit', 'withdrawal', 'debt', 'principal', 'collateral', 'default', 'loan']",0,81.13,0,4450070226651795.00,16,88.68,2025-09-14 07:02:12+00:00,2025-09-14 07:02:12+00:00
4,1909,10,Low,"['litigation: settlement', 'litigation: lawsuit', 'fraud: fraud', 'litigation: court case']",250921864516.80,62730466129.20,Critical,Credit & Lending,"{'Credit & Lending': 7, 'Fraud & Security': 1, 'Banking Regulation': 2, 'Investment Banking': 1}","['breach', 'liability', 'non-compliance', 'default', 'damages', 'fraud', 'negligence']","['mortgage', 'interest', 'payment', 'credit', 'deposit', 'debt', 'principal', 'collateral', 'default', 'loan']",80,100.00,76,250921864516.80,16,100.00,2025-09-14 07:02:13+00:00,2025-09-14 07:02:13+00:00
6,1911,9,Low,"['litigation: settlement', 'litigation: legal action', 'litigation: court case', 'litigation: lawsuit', 'fraud: fraud']",2400592458940876.00,218235678085534.20,Critical,Credit & Lending,"{'Credit & Lending': 19, 'Fraud & Security': 2, 'Investment Banking': 5}","['breach', 'liability', 'injunction', 'breach of contract', 'default', 'non-compliance', 'damages', 'fraud']","['mortgage', 'interest', 'payment', 'installment', 'credit', 'deposit', 'principal', 'debt', 'collateral', 'default', 'refinance', 'loan']",40,90.91,12,2400592458940876.00,17,100.00,2025-09-14 07:02:16+00:00,2025-09-14 07:02:16+00:00
7,1913,10,Low,"['litigation: settlement', 'credit_risk: insolvency', 'litigation: legal action', 'litigation: court case', 'fraud: fraud']",66305095624.43,2286382607.74,Critical,Credit & Lending,"{'Credit & Lending': 71, 'Fraud & Security': 11, 'Property & Assets': 1, 'Banking Regulation': 6, 'Investment Banking': 7}","['breach', 'liability', 'injunction', 'breach of contract', 'misrepresentation', 'default', 'non-compliance', 'damages', 'violation', 'fraud', 'negligence']","['mortgage', 'payment', 'interest', 'bankruptcy', 'installment', 'credit', 'deposit', 'insolvency', 'withdrawal', 'debt', 'principal', 'foreclosure', 'collateral', 'default', 'loan']",40,93.10,0,66305095624.43,13,96.55,2025-09-14 07:02:18+00:00,2025-09-14 07:02:18+00:00
8,1914,16,Low,"['litigation: settlement', 'credit_risk: bad debt', 'fraud: fraud', 'litigation: court case']",15604579.65,1733842.18,Critical,Credit & Lending,"{'Credit & Lending': 19, 'Fraud & Security': 5, 'Banking Regulation': 1, 'Investment Banking': 4}","['breach', 'liability', 'breach of contract', 'misrepresentation', 'default', 'damages', 'fraud', 'negligence']","['mortgage', 'interest', 'payment', 'credit', 'deposit', 'withdrawal', 'principal', 'debt', 'collateral', 'default', 'loan']",30,100.00,36,15604579.65,16,100.00,2025-09-14 07:02:19+00:00,2025-09-14 07:02:19+00:00
10,1917,8,Low,['litigation: settlement'],5445577.08,5445577.08,High,Credit & Lending,"{'Credit & Lending': 2, 'Banking Regulation': 1, 'Investment Banking': 1}","['breach', 'liability', 'breach of contract', 'damages', 'violation']","['interest', 'payment', 'credit', 'deposit', 'principal', 'loan']",90,100.00,92,5445577.08,18,100.00,2025-09-14 07:02:23+00:00,2025-09-14 07:02:23+00:00
11,1919,8,Low,"['litigation: settlement', 'litigation: legal action', 'fraud: fraud', 'litigation: court case']",78911020919207980.00,3945551045960399.50,Critical,Credit & Lending,"{'Credit & Lending': 36, 'Fraud & Security': 6, 'Property & Assets': 1, 'Banking Regulation': 2, 'Commercial Banking': 1, 'Investment Banking': 5}","['breach', 'liability', 'restitution', 'injunction', 'breach of contract', 'misrepresentation', 'non-compliance', 'default', 'damages', 'violation', 'fraud', 'specific performance', 'negligence']","['mortgage', 'interest', 'payment', 'bankruptcy', 'installment', 'credit', 'deposit', 'withdrawal', 'foreclosure', 'principal', 'debt', 'collateral', 'default', 'loan']",10,65.00,12,78911020919207980.00,15,80.00,2025-09-14 07:02:24+00:00,2025-09-14 07:02:24+00:00
12,1921,18,Low,['fraud: fraud'],1080003800.00,540001900.00,Critical,Credit & Lending,"{'Credit & Lending': 4, 'Fraud & Security': 2, 'Investment Banking': 4}","['breach', 'liability', 'default', 'damages', 'fraud']","['interest', 'payment', 'credit', 'deposit', 'collateral', 'default']",80,100.00,84,1080003800.00,18,100.00,2025-09-14 07:02:26+00:00,2025-09-14 07:02:26+00:00
9,1915,9,Low,"['fraud: fraud', 'credit_risk: bad debt', 'customer_dispute: customer complaint', 'litigation: legal action', 'litigation: court case', 'litigation: settlement', 'regulatory: regulatory violation', 'credit_risk: insolvency', 'fraud: money laundering']",237284277745.81,2551443846.73,Critical,Credit & Lending,"{'Employment': 8, 'Payment Systems': 1, 'Credit & Lending': 87, 'Fraud & Security': 32, 'Customer Disputes': 1, 'Property & Assets': 1, 'Banking Regulation': 28, 'Investment Banking': 40}","['breach', 'injunction', 'fraud', 'damages', 'negligence', 'non-compliance', 'specific performance', 'breach of contract', 'violation', 'misrepresentation', 'default', 'liability']","['debt', 'installment', 'credit', 'collateral', 'mortgage', 'interest', 'principal', 'refinance', 'withdrawal', 'deposit', 'insolvency', 'default', 'bankruptcy', 'loan', 'payment']",0,81.72,0,237284277745.81,16,88.17,2025-09-28 06:58:36.668291+00:00,2025-09-14 07:02:21+00:00
13,1922,7,Low,"['litigation: settlement', 'business_dispute: contract dispute', 'litigation: court case', 'litigation: lawsuit', 'fraud: fraud']",17369174449097.83,542786701534.31,Critical,Credit & Lending,"{'Credit & Lending': 47, 'Fraud & Security': 8, 'Property & Assets': 3, 'Banking Regulation': 3, 'Commercial Banking': 3, 'Investment Banking': 44}","['breach', 'liability', 'injunction', 'breach of contract', 'misrepresentation', 'default', 'non-compliance', 'damages', 'violation', 'fraud', 'specific performance', 'negligence']","['mortgage', 'payment', 'interest', 'installment', 'credit', 'deposit', 'withdrawal', 'principal', 'debt', 'collateral', 'default', 'loan']",50,59.38,0,17369174449097.83,15,75.00,2025-09-14 07:02:27+00:00,2025-09-14 07:02:27+00:00
14,1924,22,Low,"['credit_risk: insolvency', 'litigation: legal action', 'fraud: fraud']",112535942.48,37511980.83,Critical,Credit & Lending,"{'Credit & Lending': 14, 'Fraud & Security': 2, 'Property & Assets': 2, 'Investment Banking': 3}","['liability', 'injunction', 'misrepresentation', 'default', 'fraud']","['mortgage', 'interest', 'payment', 'credit', 'foreclosure', 'insolvency', 'debt', 'principal', 'collateral', 'default', 'loan']",100,100.00,92,112535942.48,18,100.00,2025-09-14 07:02:29+00:00,2025-09-14 07:02:29+00:00
15,1925,11,Low,"['litigation: settlement', 'fraud: fraud', 'litigation: legal action']",20569512276328.54,3428252046054.76,Critical,Credit & Lending,"{'Credit & Lending': 10, 'Fraud & Security': 2, 'Investment Banking': 1}","['breach', 'liability', 'injunction', 'misrepresentation', 'non-compliance', 'default', 'damages', 'fraud', 'specific performance', 'negligence']","['mortgage', 'interest', 'payment', 'installment', 'credit', 'deposit', 'withdrawal', 'debt', 'collateral', 'default', 'loan']",70,83.33,68,20569512276328.54,13,66.67,2025-09-14 07:02:30+00:00,2025-09-14 07:02:30+00:00
16,1927,8,Low,"['litigation: settlement', 'fraud: fraud']",1212101519830.55,242420303966.11,Critical,Credit & Lending,"{'Credit & Lending': 3, 'Fraud & Security': 2, 'Investment Banking': 1}","['breach', 'liability', 'injunction', 'breach of contract', 'default', 'damages', 'fraud', 'negligence']","['payment', 'interest', 'credit', 'deposit', 'debt', 'default', 'loan']",70,100.00,60,1212101519830.55,13,80.00,2025-09-14 07:02:32+00:00,2025-09-14 07:02:32+00:00
17,1928,8,Low,"['litigation: settlement', 'fraud: money laundering', 'litigation: legal action', 'litigation: court case', 'fraud: fraud']",1294556981.31,92468355.81,Critical,Credit & Lending,"{'Credit & Lending': 26, 'Fraud & Security': 4, 'Property & Assets': 1, 'Banking Regulation': 2, 'Investment Banking': 5}","['breach', 'liability', 'injunction', 'breach of contract', 'misrepresentation', 'default', 'non-compliance', 'damages', 'violation', 'fraud']","['mortgage', 'interest', 'payment', 'installment', 'credit', 'deposit', 'withdrawal', 'principal', 'debt', 'collateral', 'default', 'loan']",40,78.57,4,1294556981.31,16,92.86,2025-09-14 07:02:33+00:00,2025-09-14 07:02:33+00:00
18,1929,0,Low,,121103808.20,40367936.07,Critical,Credit & Lending,"{'Credit & Lending': 9, 'Investment Banking': 1}","['misrepresentation', 'default', 'liability']","['mortgage', 'interest', 'payment', 'credit', 'principal', 'debt', 'default', 'loan']",80,100.00,76,121103808.20,10,100.00,2025-09-14 07:02:34+00:00,2025-09-14 07:02:34+00:00
19,1930,9,Low,"['litigation: settlement', 'litigation: lawsuit', 'fraud: fraud']",292710335.30,24392527.94,Critical,Credit & Lending,"{'Credit & Lending': 26, 'Fraud & Security': 3, 'Banking Regulation': 1, 'Commercial Banking': 1, 'Investment Banking': 4}","['breach', 'liability', 'breach of contract', 'default', 'non-compliance', 'damages', 'violation', 'fraud', 'negligence']","['mortgage', 'interest', 'payment', 'installment', 'credit', 'deposit', 'withdrawal', 'debt', 'principal', 'default', 'loan']",50,100.00,20,292710335.30,13,58.33,2025-09-14 07:02:35+00:00,2025-09-14 07:02:35+00:00
20,1931,9,Low,"['litigation: settlement', 'litigation: lawsuit', 'fraud: fraud']",292710335.30,24392527.94,Critical,Credit & Lending,"{'Credit & Lending': 26, 'Fraud & Security': 3, 'Banking Regulation': 1, 'Commercial Banking': 1, 'Investment Banking': 4}","['breach', 'liability', 'breach of contract', 'default', 'non-compliance', 'damages', 'violation', 'fraud', 'negligence']","['mortgage', 'interest', 'payment', 'installment', 'credit', 'deposit', 'withdrawal', 'debt', 'principal', 'default', 'loan']",50,100.00,20,292710335.30,13,58.33,2025-09-14 07:02:36+00:00,2025-09-14 07:02:36+00:00
21,1932,10,Low,"['litigation: settlement', 'litigation: legal action', 'fraud: fraud']",2502185537367155.50,500437107473431.10,Critical,Credit & Lending,"{'Credit & Lending': 6, 'Fraud & Security': 2, 'Banking Regulation': 1, 'Investment Banking': 3}","['breach', 'injunction', 'breach of contract', 'default', 'violation', 'damages', 'fraud', 'specific performance']","['payment', 'interest', 'credit', 'deposit', 'withdrawal', 'debt', 'principal', 'collateral', 'default', 'loan']",70,80.00,76,2502185537367155.50,12,100.00,2025-09-14 07:02:36+00:00,2025-09-14 07:02:36+00:00
5,1910,8,Low,"['fraud: embezzlement', 'litigation: legal action', 'litigation: settlement', 'fraud: fraud', 'fraud: money laundering', 'employment: labor law']",12360075145.60,727063243.86,Critical,Credit & Lending,"{'Employment': 2, 'Credit & Lending': 15, 'Fraud & Security': 5, 'Banking Regulation': 2, 'Investment Banking': 2}","['breach of contract', 'specific performance', 'default', 'injunction', 'violation', 'negligence', 'liability', 'breach', 'misrepresentation', 'damages', 'fraud']","['mortgage', 'interest', 'loan', 'bankruptcy', 'default', 'principal', 'debt', 'withdrawal', 'deposit', 'credit', 'payment']",50,100.00,0,12360075145.60,14,94.12,2025-09-28 06:24:43.233718+00:00,2025-09-14 07:02:14+00:00
1,1912,9,Low,"['litigation: court case', 'litigation: settlement', 'fraud: fraud']",16828456264862.12,1121897084324.14,Critical,Credit & Lending,"{'Credit & Lending': 19, 'Fraud & Security': 6, 'Property & Assets': 2, 'Banking Regulation': 2, 'Investment Banking': 6}","['default', 'injunction', 'violation', 'negligence', 'liability', 'breach', 'misrepresentation', 'damages', 'restitution', 'fraud']","['collateral', 'mortgage', 'interest', 'loan', 'default', 'debt', 'withdrawal', 'deposit', 'credit', 'payment']",60,80.00,44,16828456264862.12,14,86.67,2025-09-28 06:24:54.946456+00:00,2025-09-14 06:54:23+00:00
